,Accepts Credit Cards,Accepts Bitcoin,Accepts Insurance,Alcohol,Appointment Only,Caters,Coat Check,Delivers,Dogs AllowedHair Types Specialized In,Happy Hour,TV,Outdoor Seating,Parking,Smoking Allowed,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Opened 24hrs,Gender Neutral BathroomsAmbience,Attire,Best Nights,Good For Dancing,Good For Groups,Good For Kids,Good For Meals Served,Music,Noise Level,Price Range,price_range,health_score,overall_rating,overall_reviews
40750264,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,2.0,2
40786413,,,,Full Bar,,,,,,,,,"Garage, Street, Validated",,,,,,,,,,,,,,,,,,Ultra High-End,A,2.5,30
40798867,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.5,154
40856729,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,4.0,1641
40933601,,,,Full Bar,,Yes,,,,,,,"Valet, Private Lot",,Yes,,,,,,,,,,,,,,,,,,3.5,28
40938384,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,3.0,156
40942438,,,,Full Bar,,,,,,,,,Garage,,,,,,,,,,,,,,,Background,,,Pricey,,3.5,77
40943615,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Moderate,A,4.0,458
40957772,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,282
40973003,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,319
40980389,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,62
41068567,,,,Full Bar,,,,,,,,,"Valet, Street",,,,,,,,,,,,,,,,,,Pricey,A,2.5,19
41071907,,,,No,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,Under $10,A,4.5,9
41084540,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,3.0,97
41086770,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,224
41098073,,,,Full Bar,,No,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,877
41116590,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Background,,,Moderate,A,4.5,135
41122435,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.0,20
41138984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,2.5,816
41141330,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,B,4.0,315
41166914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,1.5,20
41183605,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Inexpensive,A,3.5,170
41211538,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,$31-60,,2.5,105
41212475,,,,No,,No,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,2.0,2
41218434,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,148
41218950,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,271
41228468,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,Inexpensive,,3.0,49
41229106,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,330
41243023,,,,Full Bar,,,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,247
41246747,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,571
41248529,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,277
41269802,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,P,3.5,435
41275275,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.5,174
41276535,,,,Full Bar,,,,,,,,,Valet,,,,,,,,,,,,,,,,,,Inexpensive,A,3.5,11
41281111,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Ultra High-End,A,3.0,343
41281518,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.0,1076
41313515,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Moderate,,3.0,4
41317579,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,465
41331156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,186
41363184,,,,,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,Moderate,A,4.0,165
41384170,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,4.5,1333
41388993,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,191
41391961,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,3.5,250
41401638,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,321
41405007,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,4.0,682
41405368,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Juke Box,,,$11-30,A,4.0,147
41410066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,9
41426958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,110
41439621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,4.0,57
41446051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,4.0,176
41477483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,48
41528368,,,,,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Moderate,A,4.0,3937
41531114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.5,105
41554670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,235
41317579,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,465
41556790,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,668
41563445,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,195
41573739,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.0,460
41576850,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,326
41599313,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,119
41616112,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,328
41617019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,6
41619055,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,DJ,,,$11-30,A,4.0,1023
41627949,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,3.5,218
41630613,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,,4.0,42
41631962,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,31
41633315,,,,Full Bar,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,3.0,182
41637054,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,181
41637125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,64
41638085,,,,Beer & Wine Only,,Yes,,,,,,,Garage,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.5,31
41639734,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Dressy,,,,,,Background,,,$31-60,B,4.0,745
41646166,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,3.5,389
41672199,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,4.0,684
41672903,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,4.0,409
41682864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,1.5,16
41688540,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,42
