CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40401912,O'NIEALS,MANHATTAN,174,GRAND STREET,10013.0,2129419119,American,2016-01-25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2016-01-25,2018-11-12,Cycle Inspection / Re-inspection
40401934,BROOKLYN DINER,MANHATTAN,888,7 AVENUE,10106.0,2129772280,American,2018-02-15,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,7.0,A,2018-02-15,2018-11-12,Cycle Inspection / Initial Inspection
40402424,ANGLERS CLUB OF NEW YORK,MANHATTAN,101,BROAD STREET,10004.0,2124257333,American,2016-03-18,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10.0,A,2016-03-18,2018-11-12,Cycle Inspection / Initial Inspection
40402755,THE UNIVERSITY CLUB,MANHATTAN,1,WEST   54 STREET,10019.0,2125723420,American,2017-06-22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,39.0,A,2017-09-22,2018-11-12,Cycle Inspection / Initial Inspection
40402788,CBS EMPLOYEE CAFETERIA,MANHATTAN,524,W. 57TH ST,10019.0,2129752560,American,2016-03-07,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,5.0,A,2016-03-07,2018-11-12,Cycle Inspection / Initial Inspection
40403880,CAFE 101 16TH FLOOR CAFETERIA,MANHATTAN,101,BARCLAY STREET,10007.0,2128152250,American,2018-09-14,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9.0,A,2018-09-14,2018-11-12,Cycle Inspection / Initial Inspection
40404010,VOYA CAFETERIA,MANHATTAN,230,PARK AVENUE,10169.0,2123098465,American,2015-09-04,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10.0,A,2015-09-04,2018-11-12,Cycle Inspection / Initial Inspection
40424933,CREATIVE CAKES,MANHATTAN,400,EAST   74 STREET,10021.0,2127949811,American,2018-05-18,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,5.0,A,2018-05-18,2018-11-12,Cycle Inspection / Initial Inspection
40482599,SCHOENFIELD,MANHATTAN,236,WEST   45 STREET,10036.0,2125867610,American,2015-11-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6.0,A,2015-11-20,2018-11-12,Cycle Inspection / Initial Inspection
40512297,BARRACUDA BAR,MANHATTAN,275,WEST   22 STREET,10011.0,2126458613,American,2016-01-08,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,14.0,A,2016-10-25,2018-11-12,Cycle Inspection / Initial Inspection
40538766,RED EYE GRILL,MANHATTAN,888,7 AVENUE,10106.0,2125419000,American,2018-04-16,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,2018-04-16,2018-11-12,Cycle Inspection / Initial Inspection
40545741,BOB'S STEAK & CHOP HOUSE,MANHATTAN,21,EAST   52 STREET,10022.0,2127545031,American,2016-11-03,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,47.0,A,2017-11-24,2018-11-12,Administrative Miscellaneous / Re-inspection
40577007,ACME BAR & GRILL,MANHATTAN,9,GREAT JONES STREET,10012.0,2122032121,American,2016-03-04,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,2016-03-04,2018-11-12,Cycle Inspection / Initial Inspection
40592981,FLUTE,MANHATTAN,205,WEST   54 STREET,10019.0,2122655169,American,2015-07-07,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2015-07-07,2018-11-12,Cycle Inspection / Initial Inspection
40603518,"LE PARKER MERIDIEN (NORMA'S, BURGER JOINT)",MANHATTAN,118,WEST   57 STREET,10019.0,2127087460,American,2018-06-11,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,39.0,C,2018-06-11,2018-11-12,Cycle Inspection / Re-inspection
40606772,GEMINI DINER,MANHATTAN,641,2 AVENUE,10016.0,2125322143,American,2016-09-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2016-09-21,2018-11-12,Cycle Inspection / Initial Inspection
40664744,STARBUCKS,MANHATTAN,424,PARK AVENUE SOUTH,10016.0,2127250637,American,2016-09-16,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,5.0,A,2016-09-16,2018-11-12,Cycle Inspection / Initial Inspection
40701525,"SKADDEN ARPS, SLATE",MANHATTAN,4,TIMES SQUARE,10036.0,2127355243,American,2018-04-13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,2018-04-13,2018-11-12,Cycle Inspection / Initial Inspection
40716932,MORRELL WINE BAR & CAFE,MANHATTAN,14,WEST   49 STREET,10020.0,2122627700,American,2018-01-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,2018-01-10,2018-11-12,Cycle Inspection / Initial Inspection
40739412,APPLEBEE'S,MANHATTAN,234,WEST   42 STREET,10036.0,2123917414,American,2018-11-05,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,2018-11-05,2018-11-12,Cycle Inspection / Initial Inspection
40739883,CAFE CELLO DELI,MANHATTAN,48,WEST   46 STREET,10036.0,2127648600,American,2018-04-17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A,2018-04-17,2018-11-12,Cycle Inspection / Initial Inspection
40750263,ROOM SERVICE KITCHEN,MANHATTAN,1535,BROADWAY,10036.0,2123981900,American,2018-08-03,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10.0,A,2018-08-03,2018-11-12,Cycle Inspection / Initial Inspection
40750279,VIEW RESTAURANT,MANHATTAN,1535,BROADWAY,10036.0,2127048900,American,2016-10-12,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,2018-02-01,2018-11-12,Cycle Inspection / Initial Inspection
40750612,STROKOS PIZZA DELI,MANHATTAN,888,10 AVENUE,10019.0,2125816262,American,2018-04-20,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11.0,A,2018-04-20,2018-11-12,Cycle Inspection / Initial Inspection
40829514,CLINTON STREET BAKING COMPANY,MANHATTAN,4,CLINTON STREET,10002.0,6466026263,American,2017-12-04,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30.0,Z,2018-07-12,2018-11-12,Cycle Inspection / Initial Inspection
40840750,REUTERS EXECUTIVE DINING ROOM,MANHATTAN,3,TIMES SQUARE,10036.0,6462236520,American,2018-08-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2018-08-20,2018-11-12,Cycle Inspection / Initial Inspection
40840752,REUTERS CAFETERIA,MANHATTAN,3,TIMES SQUARE,10036.0,6462236520,American,2016-11-25,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,2016-11-25,2018-11-12,Cycle Inspection / Initial Inspection
40864264,THE VILLAGE TAVERN,MANHATTAN,46,BEDFORD STREET,10014.0,2127411935,American,2016-10-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,B,2016-10-26,2018-11-12,Cycle Inspection / Re-inspection
40867057,TIM HORTONS,MANHATTAN,2,PENN PLAZA,10121.0,2126300320,American,2018-03-28,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21.0,A,2018-06-08,2018-11-12,Cycle Inspection / Initial Inspection
40868717,ALICE'S TEA CUP,MANHATTAN,102,WEST   73 STREET,10023.0,2127993006,American,2017-01-24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,A,2015-12-02,2018-11-12,Cycle Inspection / Initial Inspection
40874688,BOWERY ELECTRIC,MANHATTAN,327,BOWERY,10003.0,2122280228,American,2015-05-21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10.0,A,2015-05-21,2018-11-12,Cycle Inspection / Initial Inspection
40879245,GRAND HYATT NEW YORK HOTEL,MANHATTAN,0,@ GRAND CENTRAL,,6462136774,American,2018-05-24,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,36.0,A,2015-12-18,2018-11-12,Cycle Inspection / Initial Inspection
40886675,CANARD INC,MANHATTAN,503,WEST   43 STREET,10036.0,2129471561,American,2016-06-08,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13.0,A,2016-06-08,2018-11-12,Cycle Inspection / Re-inspection
40891446,HOTEL CARLYLE,MANHATTAN,35,EAST 76 STREET,10021.0,2127441600,American,2016-07-15,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,44.0,B,2016-08-10,2018-11-12,Cycle Inspection / Initial Inspection
40897685,TSQ BRASSERIE,MANHATTAN,723,7 AVENUE,10019.0,9174095834,American,2018-02-16,Establishment re-closed by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17.0,A,2016-09-09,2018-11-12,Cycle Inspection / Reopening Inspection
40898366,ASHBY'S SPECIALTY,MANHATTAN,120,BROADWAY,10271.0,2125130702,American,2018-01-09,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2018-01-09,2018-11-12,Cycle Inspection / Initial Inspection
40937036,PENELOPE,MANHATTAN,157159,LEXINGTON AVENUE,,2124813800,American,2018-01-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,B,2018-01-26,2018-11-12,Cycle Inspection / Re-inspection
40946956,B-SIDE,MANHATTAN,204,AVENUE B,10009.0,2124754600,American,2016-05-21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,2016-05-21,2018-11-12,Cycle Inspection / Initial Inspection
40994615,APPLEBEE'S,MANHATTAN,205,WEST   50 STREET,10019.0,2122622400,American,2015-03-31,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2015-03-31,2018-11-12,Cycle Inspection / Re-inspection
40997838,CAFE METRO,MANHATTAN,14,EAST   42 STREET,10017.0,2126973700,American,2016-09-26,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29.0,A,2018-04-27,2018-11-12,Cycle Inspection / Initial Inspection
40998586,TRUMP BAR,MANHATTAN,725,5 AVENUE,10022.0,2127157290,American,2017-08-09,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,2017-08-09,2018-11-12,Cycle Inspection / Initial Inspection
41017390,EUROPAN CAFE,MANHATTAN,672,8 AVENUE,10036.0,2127304442,American,2018-08-22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,40.0,A,2016-07-22,2018-11-12,Cycle Inspection / Initial Inspection
41020286,THE HOUSE OF BREWS,MANHATTAN,363,WEST   46 STREET,10036.0,2122450551,American,2018-06-04,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,37.0,A,2016-04-11,2018-11-12,Cycle Inspection / Initial Inspection
41071308,RADIO CITY MUSIC HALL,MANHATTAN,1260,AVENUE OF THE AMERICAS,10020.0,2124857200,American,2016-06-15,No violations were recorded at the time of this inspection.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Not Applicable,0.0,A,2016-06-15,2018-11-12,Cycle Inspection / Initial Inspection
41087273,CafÃ© Medi/ Jia Lounge,MANHATTAN,107,RIVINGTON STREET,10002.0,2124752600,American,2017-04-25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,40.0,A,2018-07-10,2018-11-12,Cycle Inspection / Initial Inspection
41089876,SARABETH'S,MANHATTAN,40,CENTRAL PARK SOUTH,10019.0,2128265959,American,2016-05-14,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,33.0,A,2017-01-31,2018-11-12,Cycle Inspection / Initial Inspection
41091396,TEXAS STAR SNACK BAR,MANHATTAN,741,ST NICHOLAS AVENUE,10031.0,2129260133,American,2018-08-03,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27.0,A,2018-09-11,2018-11-12,Cycle Inspection / Initial Inspection
41098607,GEORGE'S,MANHATTAN,8789,GREENWICH STREET,,2122698026,American,2018-07-17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,2018-07-17,2018-11-12,Cycle Inspection / Re-inspection
41127083,MARKET CAFE,MANHATTAN,425,LEXINGTON AVENUE,10017.0,2126816300,American,2018-01-08,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23.0,A,2016-08-26,2018-11-12,Cycle Inspection / Initial Inspection
41128262,BRUNO'S CATERING & CAFE,MANHATTAN,282284,1 AVENUE,,2122542156,American,2016-01-25,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,14.0,A,2016-12-02,2018-11-12,Cycle Inspection / Initial Inspection
41133245,PEGU CLUB,MANHATTAN,77,WEST HOUSTON STREET,10012.0,2124737348,American,2016-12-06,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29.0,A,2016-06-22,2018-11-12,Cycle Inspection / Initial Inspection
41148107,HIDDEN CITY CAFE,MANHATTAN,145,EAST   23 STREET,10010.0,2129796161,American,2015-03-27,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,2015-03-27,2018-11-12,Cycle Inspection / Re-inspection
41157511,MORGAN STANLEY,MANHATTAN,1585,BROADWAY,10036.0,2127614043,American,2017-04-17,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,12.0,A,2017-04-17,2018-11-12,Cycle Inspection / Initial Inspection
41168107,GOTHAM COMEDY CLUB,MANHATTAN,208,WEST   23 STREET,10011.0,2123679000,American,2018-04-10,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,2018-04-10,2018-11-12,Cycle Inspection / Initial Inspection
41171216,EAST SIDE BILLIARD,MANHATTAN,163,EAST   86 STREET,10028.0,2128317665,American,2017-02-07,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,37.0,C,2017-02-07,2018-11-12,Cycle Inspection / Re-inspection
41198338,ROYALE,MANHATTAN,157,AVENUE C,10009.0,2122546600,American,2015-09-11,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13.0,B,2015-09-29,2018-11-12,Cycle Inspection / Initial Inspection
41219088,THE WAVERLY INN,MANHATTAN,16,BANK STREET,10014.0,9178281154,American,2016-08-09,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,2016-08-09,2018-11-12,Cycle Inspection / Re-inspection
41223396,THE BISTRO (HBO CAFETERIA),MANHATTAN,1100,AVENUE OF THE AMERICAS,10036.0,2125121529,American,2016-01-08,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9.0,A,2016-01-08,2018-11-12,Cycle Inspection / Initial Inspection
41223399,GOOGLE CAFETERIA,MANHATTAN,76,9 AVENUE,10011.0,2125654228,American,2018-02-07,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9.0,A,2018-02-07,2018-11-12,Cycle Inspection / Initial Inspection
41225392,BAYARD'S ALEHOUSE,MANHATTAN,533,HUDSON STREET,10014.0,2129890313,American,2017-09-25,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,2017-09-25,2018-11-12,Cycle Inspection / Initial Inspection
41236517,CAFE AMRITA,MANHATTAN,301,WEST  110 STREET,10026.0,2122220683,American,2015-07-15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22.0,A,2015-08-10,2018-11-12,Cycle Inspection / Initial Inspection
41238041,ROPES & GRAY CAFE,MANHATTAN,1211,AVENUE OF THE AMERICAS,10036.0,2125969077,American,2017-03-02,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,21.0,A,2015-12-23,2018-11-12,Cycle Inspection / Initial Inspection
41270891,WHISKEY TRADER,MANHATTAN,71,WEST   55 STREET,10019.0,2125822223,American,2016-12-06,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,23.0,A,2016-06-06,2018-11-12,Cycle Inspection / Initial Inspection
41285675,THE BOWERY HOTEL BAR,MANHATTAN,335,BOWERY,10003.0,2125059100,American,2017-08-04,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10.0,A,2017-08-04,2018-11-12,Cycle Inspection / Initial Inspection
41286921,CREDIT SUISSE B-2= CAFE,MANHATTAN,11,MADISON AVENUE,10010.0,2123252045,American,2017-07-20,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2017-07-20,2018-11-12,Cycle Inspection / Initial Inspection
41308050,RELISH CONCESSIONS (LASKER RINK),MANHATTAN,0,INSIDE CENTRAL PARK/LASKER RINK,,9174923856,American,2017-12-20,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,2017-12-20,2018-11-12,Cycle Inspection / Initial Inspection
41312815,MACE,MANHATTAN,649,EAST    9 STREET,10009.0,2126731190,American,2014-08-27,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2017-07-05,2018-11-12,Cycle Inspection / Initial Inspection
41314977,THE RUSTY KNOT,MANHATTAN,374,WEST   11 STREET,10014.0,2126465668,American,2018-05-22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,2018-05-22,2018-11-12,Cycle Inspection / Initial Inspection
41319530,PAX,MANHATTAN,966,6 AVENUE,10018.0,2129672820,American,2016-09-09,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A,2016-09-09,2018-11-12,Cycle Inspection / Initial Inspection
41324599,PHILLIP MORRIS INTERNATIONAL,MANHATTAN,120,PARK AVENUE,10017.0,9176632149,American,2017-06-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,2017-06-26,2018-11-12,Cycle Inspection / Initial Inspection
41335133,MAMA EATERY,MANHATTAN,46,MULBERRY STREET,10013.0,2126087440,American,2016-01-22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2016-01-22,2018-11-12,Cycle Inspection / Initial Inspection
