CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40547272,DEATH & CO,MANHATTAN,433,EAST    6 STREET,10009.0,2123880882,American,2015-07-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14.0,A,2017-01-31,2018-11-12,Cycle Inspection / Initial Inspection
40558850,DECHERT (THE DECH),MANHATTAN,1095,AVENUE OF THE AMERICAS,10036.0,2126983880,American,2016-04-18,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16.0,A,2018-06-07,2018-11-12,Cycle Inspection / Initial Inspection
40566482,KFC,MANHATTAN,761,7 AVENUE,10019.0,2127678347,American,2018-02-26,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2018-02-26,2018-11-12,Cycle Inspection / Initial Inspection
40573929,ARABELLE,MANHATTAN,37,EAST   64 STREET,10065.0,2126064600,American,2018-06-22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A,2018-06-22,2018-11-12,Cycle Inspection / Initial Inspection
40593315,READE STREET PUB & KITCHEN,MANHATTAN,135,READE STREET,10013.0,2122272295,American,2018-02-26,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2018-02-26,2018-11-12,Cycle Inspection / Initial Inspection
40621072,POINT BREAK,MANHATTAN,12,WEST   45 STREET,10036.0,2123918053,American,2015-08-03,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-08-03,2018-11-12,Cycle Inspection / Re-inspection
40634713,NEW YORK UNIVERSITY - LIPTON HALL,MANHATTAN,33,WASHINGTON SQUARE WEST,10011.0,2129953074,American,2018-03-26,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9.0,A,2018-03-26,2018-11-12,Cycle Inspection / Initial Inspection
40635454,THE LOWELL,MANHATTAN,28,EAST   63 STREET,10065.0,2126056859,American,2018-05-01,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11.0,A,2018-05-01,2018-11-12,Cycle Inspection / Initial Inspection
40656139,TRIBECA ROOFTOP (10 DESBROSSES STREET),MANHATTAN,480,CANAL STREET,10013.0,2126252600,American,2018-04-27,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2018-04-27,2018-11-12,Cycle Inspection / Initial Inspection
40662495,JOE'S PUB,MANHATTAN,425,LAFAYETTE STREET,10003.0,2125398778,American,2016-04-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2016-04-05,2018-11-12,Cycle Inspection / Initial Inspection
40674838,HI LIFE BAR & GRILL,MANHATTAN,477,AMSTERDAM AVENUE,10024.0,2127877199,American,2017-07-31,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,2017-07-31,2018-11-12,Cycle Inspection / Initial Inspection
40680918,ELI'S TABLE,MANHATTAN,1411,3 AVENUE,10028.0,2127179798,American,2018-08-09,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26.0,B,2018-09-29,2018-11-12,Cycle Inspection / Initial Inspection
40690158,FRESCO ON THE GO,MANHATTAN,40,EAST   52 STREET,10022.0,2127542700,American,2016-09-27,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,2016-09-27,2018-11-12,Cycle Inspection / Initial Inspection
40694767,NEW YORK LUNCHEONETTE,MANHATTAN,135,EAST   50 STREET,10022.0,2128380165,American,2017-11-15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30.0,A,2017-03-23,2018-11-12,Cycle Inspection / Initial Inspection
40705931,BLUE HILL RESTAURANT,MANHATTAN,75,WASHINGTON PLACE,10011.0,2125391776,American,2016-01-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27.0,A,2015-05-19,2018-11-12,Cycle Inspection / Initial Inspection
40709138,THALIA,MANHATTAN,828,8 AVENUE,10019.0,2123994443,American,2018-04-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,A,2015-09-03,2018-11-12,Cycle Inspection / Initial Inspection
40720911,ANOTHEROOM,MANHATTAN,249,WEST BROADWAY,10013.0,2122261418,American,2015-11-11,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4.0,A,2015-11-11,2018-11-12,Cycle Inspection / Re-inspection
40724274,THE WHEELTAPPER,MANHATTAN,141,EAST   44 STREET,10017.0,2123516800,American,2018-04-24,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,38.0,A,2018-07-13,2018-11-12,Cycle Inspection / Initial Inspection
40750264,TIMES SQUARE CAFE,MANHATTAN,1535,BROADWAY,10036.0,2123981900,American,2018-01-02,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25.0,A,2018-09-27,2018-11-12,Cycle Inspection / Initial Inspection
40786413,PRIVATE EYES,MANHATTAN,320,WEST   45 STREET,10036.0,2125824001,American,2018-05-03,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7.0,A,2018-05-03,2018-11-12,Cycle Inspection / Initial Inspection
40798867,POSH,MANHATTAN,405,WEST 51 STREET,10019.0,2129572222,American,2016-02-10,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2016-02-10,2018-11-12,Cycle Inspection / Initial Inspection
40856729,CRIF DOGS / PLEASE DON'T TELL,MANHATTAN,113,ST  MARKS PLACE,10009.0,2126142728,American,2018-04-04,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,2018-04-04,2018-11-12,Cycle Inspection / Re-inspection
40892252,ERNST & YOUNG CAFE,MANHATTAN,5,TIMES SQUARE,10036.0,2127739994,American,2016-07-14,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,2016-07-14,2018-11-12,Cycle Inspection / Initial Inspection
40933601,THE HILL,MANHATTAN,416,3 AVENUE,10016.0,2124811712,American,2016-03-14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,2016-03-14,2018-11-12,Cycle Inspection / Re-inspection
40938384,MOCA BAR & LOUNGE,MANHATTAN,2210,8 AVENUE,10026.0,2126658081,American,2015-04-09,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,B,2017-02-04,2018-11-12,Cycle Inspection / Initial Inspection
40942438,SKY TERRACE BAR,MANHATTAN,356,WEST   58 STREET,10019.0,2125546304,American,2017-08-10,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2017-08-10,2018-11-12,Cycle Inspection / Initial Inspection
40943615,OTTO'S SHRUNKEN HEAD,MANHATTAN,538,EAST   14 STREET,10009.0,2122282240,American,2015-03-02,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,A,2018-02-28,2018-11-12,Cycle Inspection / Initial Inspection
40957772,NURSE BETTIE,MANHATTAN,106,NORFOLK STREET,10002.0,2124777515,American,2014-08-05,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26.0,A,2014-09-02,2018-11-12,Cycle Inspection / Initial Inspection
40973003,THE PATRIOT SALOON,MANHATTAN,110,CHAMBERS STREET,10007.0,2127481162,American,2018-02-07,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10.0,A,2018-02-07,2018-11-12,Cycle Inspection / Initial Inspection
40980389,THE GRAFTON PUBLIC HOUSE,MANHATTAN,126,1 AVENUE,10009.0,2122288580,American,2018-09-04,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,2018-09-04,2018-11-12,Cycle Inspection / Re-inspection
41068567,CELON BAR & LOUNGE,MANHATTAN,40,WEST   40 STREET,10018.0,2126422211,American,2017-04-20,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,2017-04-20,2018-11-12,Cycle Inspection / Initial Inspection
41071907,LENOX FAST FOOD,MANHATTAN,657,LENOX AVENUE,10037.0,2122815812,American,2017-04-12,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27.0,P,2016-08-18,2018-11-12,Cycle Inspection / Initial Inspection
41084540,OPEN HOUSE,MANHATTAN,244,EAST HOUSTON STREET,10002.0,9177744493,American,2018-06-08,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29.0,A,2017-02-23,2018-11-12,Cycle Inspection / Initial Inspection
41086770,STITCH BAR,MANHATTAN,247,WEST   37 STREET,10018.0,2128524826,American,2017-01-31,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,22.0,A,2017-02-27,2018-11-12,Cycle Inspection / Initial Inspection
41098073,STOUT,MANHATTAN,133,WEST   33 STREET,10001.0,2126296191,American,2017-07-17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,2017-07-17,2018-11-12,Cycle Inspection / Initial Inspection
41116590,SUNITA,MANHATTAN,106,NORFOLK STREET,10002.0,2122538860,American,2018-02-16,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,12.0,A,2018-02-16,2018-11-12,Cycle Inspection / Initial Inspection
41122435,JIMBO'S BURGER PALACE,MANHATTAN,535,LENOX AVENUE,10037.0,2124918680,American,2016-09-23,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2016-09-23,2018-11-12,Cycle Inspection / Re-inspection
41138984,HOTEL PIERRE-BANQUET KITCHEN,MANHATTAN,2,EAST   61 STREET,10065.0,2128388000,American,2016-12-12,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18.0,A,2016-06-07,2018-11-12,Cycle Inspection / Initial Inspection
41141330,TOASTIES,MANHATTAN,25,JOHN STREET,10038.0,2125131730,American,2015-11-02,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2015-11-02,2018-11-12,Cycle Inspection / Initial Inspection
41166914,EAT ON 8TH,MANHATTAN,601,WEST 26 STREET,10001.0,2123528548,American,2016-02-10,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,2016-02-10,2018-11-12,Cycle Inspection / Re-inspection
41183605,TROPICAL 128,MANHATTAN,128,ELIZABETH STREET,10013.0,2129258219,American,2015-12-14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,P,2016-10-21,2018-11-12,Cycle Inspection / Initial Inspection
41198297,HEARST GOOD HOUSEKEEPING INSTITUTE,MANHATTAN,300,WEST   57 STREET,10019.0,2126492724,American,2017-06-21,No violations were recorded at the time of this inspection.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Applicable,0.0,A,2017-06-21,2018-11-12,Cycle Inspection / Initial Inspection
41211538,STK,MANHATTAN,28,LITTLE WEST   12 STREET,10014.0,6466242444,American,2018-11-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2018-11-01,2018-11-12,Cycle Inspection / Initial Inspection
41212475,MOE'S CAFE,MANHATTAN,209,EAST   23 STREET,10010.0,2125922167,American,2016-09-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,B,2015-10-14,2018-11-12,Cycle Inspection / Initial Inspection
41218434,GIGI CAFE,MANHATTAN,2067,BROADWAY,10023.0,2125017500,American,2015-11-10,No violations were recorded at the time of this inspection.,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,10.0,A,2018-02-23,2018-11-12,Trans Fat / Initial Inspection
41218950,GREENWICH TREEHOUSE,MANHATTAN,46,GREENWICH AVENUE,10011.0,2126750395,American,2016-05-31,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17.0,A,2014-09-16,2018-11-12,Cycle Inspection / Initial Inspection
41228468,THE RITZ BAR & LOUNGE,MANHATTAN,369,WEST   46 STREET,10036.0,2123334177,American,2016-04-20,No violations were recorded at the time of this inspection.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Not Applicable,53.0,A,2018-11-01,2018-11-12,Smoke-Free Air Act / Compliance Inspection
41229106,BLIND PIG,MANHATTAN,233,EAST   14 STREET,10003.0,2122091573,American,2017-10-19,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,2017-10-19,2018-11-12,Cycle Inspection / Re-inspection
41243023,SHUKA,MANHATTAN,38,MACDOUGAL STREET,10012.0,2124757500,American,2018-06-02,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,A,2017-02-08,2018-11-12,Cycle Inspection / Initial Inspection
41246747,THE CANNIBAL NYC,MANHATTAN,111,EAST   29 STREET,10016.0,2126855585,American,2017-07-11,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23.0,A,2016-11-16,2018-11-12,Cycle Inspection / Initial Inspection
41248529,ROUTE 66 CAFE,MANHATTAN,858,9 AVENUE,10019.0,2129777600,American,2018-01-05,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24.0,A,2017-06-13,2018-11-12,Cycle Inspection / Initial Inspection
41269802,SANCTUARY T,MANHATTAN,337,WEST BROADWAY,10013.0,2129417832,American,2018-10-02,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,25.0,Z,2018-10-02,2018-11-12,Cycle Inspection / Re-inspection
41275275,WHISKEY TOWN,MANHATTAN,29,EAST    3 STREET,10003.0,2125057344,American,2015-08-18,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,14.0,A,2016-09-28,2018-11-12,Cycle Inspection / Initial Inspection
41276535,PAUL'S RESTAURANT,MANHATTAN,22,WEST   34 STREET,10001.0,2123071111,American,2016-12-19,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,2016-12-19,2018-11-12,Cycle Inspection / Initial Inspection
41281111,THE BOX,MANHATTAN,189,CHRYSTIE STREET,10002.0,2129829330,American,2018-03-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2018-03-23,2018-11-12,Cycle Inspection / Re-inspection
41281518,MOODY'S CAFETERIA,MANHATTAN,250,GREENWICH STREET,10007.0,2125530318,American,2018-06-14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2018-06-14,2018-11-12,Cycle Inspection / Initial Inspection
41286929,535 MADISON CAFE,MANHATTAN,535,MADISON AVENUE,10022.0,2123084177,American,2018-09-06,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4.0,A,2018-09-06,2018-11-12,Cycle Inspection / Initial Inspection
41297135,PLANET ROSE,MANHATTAN,219,AVENUE A,10009.0,2123539500,American,2015-05-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,2015-05-15,2018-11-12,Cycle Inspection / Re-inspection
41299964,CRANBERRY CAFE,MANHATTAN,115,WEST   45 STREET,10036.0,2127309495,American,2016-06-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20.0,A,2015-11-10,2018-11-12,Cycle Inspection / Initial Inspection
41313515,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,567,3 AVENUE,10016.0,2128679578,American,2017-02-07,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11.0,A,2017-02-07,2018-11-12,Cycle Inspection / Initial Inspection
41317579,BELFRY,MANHATTAN,222,EAST   14 STREET,10003.0,2124736590,American,2018-05-21,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,21.0,A,2016-03-29,2018-11-12,Cycle Inspection / Initial Inspection
41331156,ROOM MATE GRACE HOTEL,MANHATTAN,125,WEST   45 STREET,10036.0,2123542323,American,2017-04-28,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,A,2015-05-18,2018-11-12,Cycle Inspection / Initial Inspection
41363184,BEAN N BEAN,MANHATTAN,71,BROADWAY,10006.0,2124228083,American,2017-05-30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2017-05-30,2018-11-12,Cycle Inspection / Initial Inspection
41367206,AKIN GUMP,MANHATTAN,1,BRYANT PARK,10036.0,2124073132,American,2015-07-13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-07-13,2018-11-12,Cycle Inspection / Initial Inspection
41384170,RAINES LAW ROOM,MANHATTAN,48,WEST   17 STREET,10011.0,2122420600,American,2018-05-12,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10.0,A,2018-05-12,2018-11-12,Cycle Inspection / Initial Inspection
